date,tweetAmount
2020-01-01,	1
2020-01-04,	2
2020-01-05,	1
2020-01-06,	2
2020-01-08,	9
2020-01-09,	49
2020-01-10,	136
2020-01-11,	95
2020-01-12,	27
2020-01-13,	22
2020-01-14,	2
2020-01-17,	67
2020-01-18,	77
2020-01-19,	17
2020-01-20,	478
2020-01-21,	985
2020-01-22,	4243
2020-01-23,	6586
2020-01-24,	9189
2020-01-25,	13409
2020-01-26,	15146
2020-01-27,	12005
2020-01-28,	13115
2020-01-29,	15297
2020-01-30,	18408
2020-01-31,	17106
2020-02-01,	9813
2020-02-02,	10733
2020-02-03,	7974
2020-02-04,	7268
2020-02-05,	6140
2020-02-06,	6010
2020-02-07,	6751
2020-02-08,	6627
2020-02-09,	6436
2020-02-10,	5907
2020-02-11,	6913
2020-02-12,	6079
2020-02-13,	6563
2020-02-14,	4213
2020-02-15,	789
2020-02-16,	3236
2020-02-17,	4564
2020-02-18,	4930
2020-02-19,	5160
2020-02-20,	4550
2020-02-21,	5787
2020-02-22,	6818
2020-02-23,	9257
2020-02-24,	13671
2020-02-25,	20292
2020-02-26,	30859
2020-02-27,	36861
2020-02-28,	46084
2020-02-29,	36326
2020-03-01,	26062
2020-03-02,	32805
2020-03-03,	31443
2020-03-04,	34556
2020-03-05,	36634
2020-03-06,	32748
2020-03-07,	32629
2020-03-08,	31674
2020-03-09,	45130
2020-03-10,	60783
2020-03-11,	82997
2020-03-12,	508909
2020-03-13,	4160194
2020-03-14,	4457466
2020-03-15,	4438878
2020-03-16,	4453117
2020-03-17,	4268304
2020-03-18,	4447207
2020-03-19,	4109446
2020-03-20,	4036577
2020-03-21,	4318899
2020-03-22,	724273
